experiment_id,domain_size,GN,degree,mean_objective_value,std_objective_value,l2_approx_error,critical_points_count,git_commit,timestamp
minimal_4d_lv_test_0.12_20250930_095143,,,4,2.3981486596588577,0.006231981506848001,,3,,
minimal_4d_lv_test_0.12_20250930_095143,,,5,2.403874704626272,0.01014293759436478,,3,,
minimal_4d_lv_test_0.15_20250930_085207,,,4,2.407729510706842,0.00444608131274408,,3,,
minimal_4d_lv_test_0.15_20250930_085207,,,5,2.411786721080332,0.004882716328832528,,3,,
minimal_4d_lv_test_0.1_20250927_113401,,,4,2.400990236942054,0.0059992138064582385,,3,,
minimal_4d_lv_test_0.1_20250927_113401,,,5,2.4078144785858826,0.004803383214211102,,3,,
minimal_4d_lv_test_0.1_20250930_085207,,,4,2.4073692504606012,0.01373848301346038,,3,,
minimal_4d_lv_test_0.1_20250930_085207,,,5,2.4065755123106,0.012398959349518306,,3,,
minimal_4d_lv_test_0.2_20250930_085207,,,4,2.4033801717493164,0.00781538401213979,,3,,
minimal_4d_lv_test_0.2_20250930_085207,,,5,2.414493393832458,0.011743962632594354,,3,,
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,4,2.404701801310447,0.005591908379911735,,3,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,5,2.399393156110109,0.005146753073490256,,3,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,4,2.252389164205488,0.00919238131098106,0.04,3,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,5,2.240562971697901,0.014889005303527035,0.05,3,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,4,5.048236192782548,0.11348430398674521,0.04,3,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,5,5.005928483882538,0.08620644196525155,0.05,3,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,4,4.992293193898354,0.08148267499626777,0.04,3,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,5,5.038234130157861,0.09633157980496443,0.05,3,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037
